================================================================================
SLIPCASE — PORTABLE RESEARCH FIELD: RESOURCES REGISTER
================================================================================

Total Registered Resources: 44

ORDER  | CITEKEY                  | STATE          | RESOURCE RECEIPT FILE              
------------------------------------------------------------------------------------------
001    | agre1987pengi            | LOCAL_RECORD   | _RESOURCES/RESOURCE__agre1987pengi.txt        
002    | anscombe1957intention    | LOCAL_RECORD   | _RESOURCES/RESOURCE__anscombe1957intention.txt
003    | auslander1999liveness    | LOCAL_RECORD   | _RESOURCES/RESOURCE__auslander1999liveness.txt
004    | austin1962how            | LOCAL_RECORD   | _RESOURCES/RESOURCE__austin1962how.txt        
005    | baxandall1972painting    | LOCAL_RECORD   | _RESOURCES/RESOURCE__baxandall1972painting.txt
006    | becker1982art            | LOCAL_RECORD   | _RESOURCES/RESOURCE__becker1982art.txt        
007    | belkin1982ask            | LOCAL_RECORD   | _RESOURCES/RESOURCE__belkin1982ask.txt        
008    | bratman1987intention     | LOCAL_RECORD   | _RESOURCES/RESOURCE__bratman1987intention.txt 
009    | bryant2002fluid          | LOCAL_RECORD   | _RESOURCES/RESOURCE__bryant2002fluid.txt      
010    | bush1945as               | LOCAL_RECORD   | _RESOURCES/RESOURCE__bush1945as.txt           
011    | cage1961silence          | LOCAL_RECORD   | _RESOURCES/RESOURCE__cage1961silence.txt      
012    | cardew1971treatise       | LOCAL_RECORD   | _RESOURCES/RESOURCE__cardew1971treatise.txt   
013    | clark1991grounding       | LOCAL_RECORD   | _RESOURCES/RESOURCE__clark1991grounding.txt   
014    | dijkstra1968goto         | LOCAL_RECORD   | _RESOURCES/RESOURCE__dijkstra1968goto.txt     
015    | elster1979ulysses        | LOCAL_RECORD   | _RESOURCES/RESOURCE__elster1979ulysses.txt    
016    | eno1996year              | LOCAL_RECORD   | _RESOURCES/RESOURCE__eno1996year.txt          
017    | fikes1971strips          | LOCAL_RECORD   | _RESOURCES/RESOURCE__fikes1971strips.txt      
018    | garfinkel1967studies     | LOCAL_RECORD   | _RESOURCES/RESOURCE__garfinkel1967studies.txt 
019    | gaver1999cultural        | LOCAL_RECORD   | _RESOURCES/RESOURCE__gaver1999cultural.txt    
020    | genette1997palimpsests   | LOCAL_RECORD   | _RESOURCES/RESOURCE__genette1997palimpsests.txt
021    | goffman1959presentation  | LOCAL_RECORD   | _RESOURCES/RESOURCE__goffman1959presentation.txt
022    | goodman1968languages     | LOCAL_RECORD   | _RESOURCES/RESOURCE__goodman1968languages.txt 
023    | grice1975logic           | LOCAL_RECORD   | _RESOURCES/RESOURCE__grice1975logic.txt       
024    | hartsoe2026world         | LOCAL_RECORD   | _RESOURCES/RESOURCE__hartsoe2026world.txt     
025    | hartsoe2026worldknife    | LOCAL_RECORD   | _RESOURCES/RESOURCE__hartsoe2026worldknife.txt
026    | hartsoe2026worldlever    | LOCAL_RECORD   | _RESOURCES/RESOURCE__hartsoe2026worldlever.txt
027    | hartsoe2026worldhand     | LOCAL_RECORD   | _RESOURCES/RESOURCE__hartsoe2026worldhand.txt 
028    | hutchins1995cognition    | LOCAL_RECORD   | _RESOURCES/RESOURCE__hutchins1995cognition.txt
029    | kay1993early             | LOCAL_RECORD   | _RESOURCES/RESOURCE__kay1993early.txt         
030    | kendon2004gesture        | LOCAL_RECORD   | _RESOURCES/RESOURCE__kendon2004gesture.txt    
031    | knuth1984literate        | LOCAL_RECORD   | _RESOURCES/RESOURCE__knuth1984literate.txt    
032    | landin1966next           | LOCAL_RECORD   | _RESOURCES/RESOURCE__landin1966next.txt       
033    | latour1996aramis         | LOCAL_RECORD   | _RESOURCES/RESOURCE__latour1996aramis.txt     
034    | mcgann1983critique       | LOCAL_RECORD   | _RESOURCES/RESOURCE__mcgann1983critique.txt   
035    | mcneill1992hand          | LOCAL_RECORD   | _RESOURCES/RESOURCE__mcneill1992hand.txt      
036    | perec1969disparition     | LOCAL_RECORD   | _RESOURCES/RESOURCE__perec1969disparition.txt 
037    | mottex1986oulipo         | LOCAL_RECORD   | _RESOURCES/RESOURCE__mottex1986oulipo.txt     
038    | sacks1974simplest        | LOCAL_RECORD   | _RESOURCES/RESOURCE__sacks1974simplest.txt    
039    | salton1975vector         | LOCAL_RECORD   | _RESOURCES/RESOURCE__salton1975vector.txt     
040    | schechner1988performance | LOCAL_RECORD   | _RESOURCES/RESOURCE__schechner1988performance.txt
041    | searle1975taxonomy       | LOCAL_RECORD   | _RESOURCES/RESOURCE__searle1975taxonomy.txt   
042    | sengers2006staying       | LOCAL_RECORD   | _RESOURCES/RESOURCE__sengers2006staying.txt   
043    | suchman1987plans         | LOCAL_RECORD   | _RESOURCES/RESOURCE__suchman1987plans.txt     
044    | winograd1986understanding | LOCAL_RECORD   | _RESOURCES/RESOURCE__winograd1986understanding.txt
